period,start,end,sma,buy,sell,cagr,max_dd,sharpe,trades,final_x
2010-full,2010-02-11,2026-05-28,100,0,0,0.25219541650646526,-0.5584657767043768,0.7502792359293552,181,39.00312390191354
2010-full,2010-02-11,2026-05-28,100,0,1,0.2923030652871548,-0.5159295159429522,0.817957420622204,105,65.1852431034094
2010-full,2010-02-11,2026-05-28,100,0,2,0.29859740601806695,-0.5637365571551896,0.8163327116423328,73,70.5544137833595
2010-full,2010-02-11,2026-05-28,100,0,3,0.3247262187772464,-0.6164077877841905,0.854897443749561,55,97.60242352707962
2010-full,2010-02-11,2026-05-28,100,0,4,0.34967371544740256,-0.6289991548486031,0.8894340223364335,41,132.26795063899328
2010-full,2010-02-11,2026-05-28,100,0,5,0.32292381862627817,-0.7071232525868325,0.8363723623840336,35,95.46150188396244
2010-full,2010-02-11,2026-05-28,100,0,6,0.3238711331953772,-0.7525310775942049,0.8333022130913884,29,96.58118085494404
2010-full,2010-02-11,2026-05-28,100,0,7,0.33357311275134305,-0.7727481074103109,0.8448107053388515,25,108.78041199717296
2010-full,2010-02-11,2026-05-28,100,0,8,0.3180668275319709,-0.8236296030558288,0.8152439874385553,23,89.90962459508144
2010-full,2010-02-11,2026-05-28,100,1,0,0.2445892000085239,-0.6259565102547138,0.7419694247516305,123,35.31784204471124
2010-full,2010-02-11,2026-05-28,100,1,1,0.2804785489127435,-0.5444643105057478,0.8018897451807592,83,56.12000099099176
2010-full,2010-02-11,2026-05-28,100,1,2,0.2937548374634893,-0.5374777592664404,0.8133722248015862,59,66.3884602236772
2010-full,2010-02-11,2026-05-28,100,1,3,0.316648423077893,-0.5765828303401794,0.8474008631413265,47,88.3463825594721
2010-full,2010-02-11,2026-05-28,100,1,4,0.345098675002653,-0.5943886824513549,0.8890412674157814,37,125.15042814851599
2010-full,2010-02-11,2026-05-28,100,1,5,0.32977790625352754,-0.6097966553588989,0.8538940363961384,31,103.84557976080895
2010-full,2010-02-11,2026-05-28,100,1,6,0.3431456745010566,-0.6375632339817349,0.867619680081079,25,122.22295364326398
2010-full,2010-02-11,2026-05-28,100,1,7,0.3592238385998674,-0.6375632339817349,0.8888307058803059,21,148.36736756567487
2010-full,2010-02-11,2026-05-28,100,1,8,0.359255708003946,-0.6329640304108869,0.8839364896551174,19,148.42404705682358
2010-full,2010-02-11,2026-05-28,100,2,0,0.21676336718849476,-0.5698614498618233,0.6943777579512288,95,24.43576121075058
2010-full,2010-02-11,2026-05-28,100,2,1,0.2576358685246196,-0.5177374206176062,0.7672962495415747,71,41.857250062883985
2010-full,2010-02-11,2026-05-28,100,2,2,0.2731093866088905,-0.5405054541682672,0.7825393284712574,51,51.08399253708697
2010-full,2010-02-11,2026-05-28,100,2,3,0.29267376017562485,-0.540505454168267,0.8093235412385767,43,65.49051084390068
2010-full,2010-02-11,2026-05-28,100,2,4,0.3324302372769399,-0.5539799894411224,0.8719426392890322,33,107.27166514757542
2010-full,2010-02-11,2026-05-28,100,2,5,0.3394017544533754,-0.5468316078719604,0.8737702939773306,27,116.78979452682378
2010-full,2010-02-11,2026-05-28,100,2,6,0.3480733734092951,-0.6004707374434795,0.880707914943831,23,129.7361301500518
2010-full,2010-02-11,2026-05-28,100,2,7,0.36881522265490174,-0.6196327899990149,0.9087354033345153,19,166.37426567740067
2010-full,2010-02-11,2026-05-28,100,2,8,0.34729809491818986,-0.6427011259383576,0.8711558667704966,19,128.52602404364245
2010-full,2010-02-11,2026-05-28,100,3,0,0.18275398632392292,-0.5882675459083005,0.6282542506295485,83,15.39804470761401
2010-full,2010-02-11,2026-05-28,100,3,1,0.22340604282729748,-0.5383739605252305,0.7051470129194247,65,26.70201293721958
2010-full,2010-02-11,2026-05-28,100,3,2,0.24956140466115784,-0.5516583177965697,0.7426201310122211,47,37.68789466059484
2010-full,2010-02-11,2026-05-28,100,3,3,0.2627729977290427,-0.5781420687997436,0.7596369082858931,41,44.73118663106668
2010-full,2010-02-11,2026-05-28,100,3,4,0.2971486319073382,-0.5958823506615141,0.8131715204931216,33,69.28302969567594
2010-full,2010-02-11,2026-05-28,100,3,5,0.30951279718426306,-0.5831877361552618,0.8255513503120381,27,80.86165503278461
2010-full,2010-02-11,2026-05-28,100,3,6,0.3240113291635969,-0.6004707374434792,0.8430854406728269,23,96.74792888273943
2010-full,2010-02-11,2026-05-28,100,3,7,0.3505410378295648,-0.6449235932780719,0.8806370239368582,19,133.65940206729832
2010-full,2010-02-11,2026-05-28,100,3,8,0.32931117163309787,-0.6783062063764784,0.8432522227378787,19,103.25341755118504
2010-full,2010-02-11,2026-05-28,100,4,0,0.16864299008931383,-0.5282052658291554,0.6041563211402683,71,12.663443989041053
2010-full,2010-02-11,2026-05-28,100,4,1,0.20339345245047835,-0.5288707102544958,0.6717062249121593,57,20.41068523727438
2010-full,2010-02-11,2026-05-28,100,4,2,0.20521225522663822,-0.5526849364617252,0.6626282430088308,47,20.9190642210086
2010-full,2010-02-11,2026-05-28,100,4,3,0.22619087646209435,-0.5526849364617246,0.696326602166778,41,27.709578553877723
2010-full,2010-02-11,2026-05-28,100,4,4,0.2707490049604089,-0.5912662185150304,0.7718192776128521,33,49.5628039907627
2010-full,2010-02-11,2026-05-28,100,4,5,0.2842879475372013,-0.5902432961049028,0.7861797453155446,27,58.90249146446556
2010-full,2010-02-11,2026-05-28,100,4,6,0.29991072860822654,-0.6257501854590308,0.8068231592092642,23,71.72582365649232
2010-full,2010-02-11,2026-05-28,100,4,7,0.3270888309479989,-0.6509341238973513,0.8464982475898463,19,100.47707432477813
2010-full,2010-02-11,2026-05-28,100,4,8,0.30622762234886647,-0.6837516551869383,0.8090407944011438,19,77.61968966727913
2010-full,2010-02-11,2026-05-28,100,5,0,0.122266866628578,-0.5135202139990742,0.5006640673561372,65,6.5475190270438
2010-full,2010-02-11,2026-05-28,100,5,1,0.16528260066938438,-0.5576938025389588,0.5952750899582576,53,12.08312731297286
2010-full,2010-02-11,2026-05-28,100,5,2,0.19247718908853795,-0.5517389694710453,0.6433883257275747,43,17.594949608295344
2010-full,2010-02-11,2026-05-28,100,5,3,0.22586061413075775,-0.4962709060464042,0.701443118261387,37,27.58824984393334
2010-full,2010-02-11,2026-05-28,100,5,4,0.2590152300087589,-0.5503687839424194,0.7573464504701102,31,42.611414338466986
2010-full,2010-02-11,2026-05-28,100,5,5,0.28297693504120947,-0.5919170160218088,0.7905945575166534,25,57.93059775306021
2010-full,2010-02-11,2026-05-28,100,5,6,0.27774908381283314,-0.6402196258987871,0.7729398340510157,23,54.202716807245665
2010-full,2010-02-11,2026-05-28,100,5,7,0.31221070564211684,-0.6574752591729638,0.8258382787405837,19,83.61867884234836
2010-full,2010-02-11,2026-05-28,100,5,8,0.291583374134202,-0.6782485424139517,0.7881101114544821,19,64.5963862477866
2010-full,2010-02-11,2026-05-28,100,6,0,0.08403010204466499,-0.5919611206410208,0.4082767798382182,57,3.7224673620560025
2010-full,2010-02-11,2026-05-28,100,6,1,0.1355844008330671,-0.6225104514429551,0.5331044602623455,47,7.934800973691242
2010-full,2010-02-11,2026-05-28,100,6,2,0.14528974253499016,-0.6203953598304177,0.5460788655201166,41,9.11473184146457
2010-full,2010-02-11,2026-05-28,100,6,3,0.1629375711354606,-0.5256456643069842,0.5788505272036022,37,11.69304688508527
2010-full,2010-02-11,2026-05-28,100,6,4,0.20589400216122566,-0.5729886235301413,0.6616520116609327,31,21.112665305534545
2010-full,2010-02-11,2026-05-28,100,6,5,0.24843102536738715,-0.6124466663361314,0.7315896392449378,25,37.136332808130184
2010-full,2010-02-11,2026-05-28,100,6,6,0.24465493279823458,-0.6583192908204897,0.7174593796462012,23,35.34824055514808
2010-full,2010-02-11,2026-05-28,100,6,7,0.28641777818871383,-0.674706835664177,0.7846839797041606,19,60.51409357564072
2010-full,2010-02-11,2026-05-28,100,6,8,0.26619589929816745,-0.6944350661645176,0.7470623494228834,19,46.747829745273506
2010-full,2010-02-11,2026-05-28,100,7,0,0.0849105310243572,-0.5572194044571034,0.413841069714973,49,3.772024853190082
2010-full,2010-02-11,2026-05-28,100,7,1,0.1616140815816587,-0.5626799941353018,0.6064121422920093,39,11.47814313656935
2010-full,2010-02-11,2026-05-28,100,7,2,0.18553909020041703,-0.603901495737635,0.6447530485218655,33,15.999460616969673
2010-full,2010-02-11,2026-05-28,100,7,3,0.19216718576132785,-0.6192133768566372,0.6534337257486451,31,17.520584689356234
2010-full,2010-02-11,2026-05-28,100,7,4,0.2605917247757463,-0.5274027354648461,0.7814251765353428,25,43.488973901798545
2010-full,2010-02-11,2026-05-28,100,7,5,0.2943413107268009,-0.5538521187773633,0.8327369056516346,21,66.88041060937628
2010-full,2010-02-11,2026-05-28,100,7,6,0.2968282060081151,-0.527402735464846,0.8253262557917557,19,69.00475642085387
2010-full,2010-02-11,2026-05-28,100,7,7,0.35021425769215897,-0.5274027354648463,0.9102505114415362,15,133.13354110281693
2010-full,2010-02-11,2026-05-28,100,7,8,0.3370688198431635,-0.5274027354648461,0.8856156755069879,15,113.51977948686715
2010-full,2010-02-11,2026-05-28,100,8,0,0.0582559469049142,-0.5914484226589722,0.3402237446568759,41,2.5152896793664725
2010-full,2010-02-11,2026-05-28,100,8,1,0.11351520410721028,-0.5057711152476514,0.49573040648594546,35,5.7635519677293034
2010-full,2010-02-11,2026-05-28,100,8,2,0.12539359916711224,-0.6199111836838589,0.51681095005524,31,6.851098715590075
2010-full,2010-02-11,2026-05-28,100,8,3,0.1426636917405344,-0.6346041822876605,0.5530566736089149,29,8.78018120513136
2010-full,2010-02-11,2026-05-28,100,8,4,0.22118827500635452,-0.5554240304371302,0.7178800744725833,23,25.924320921717246
2010-full,2010-02-11,2026-05-28,100,8,5,0.245461182841197,-0.5869486084472582,0.745151224408181,21,35.723099071838035
2010-full,2010-02-11,2026-05-28,100,8,6,0.24984261029465493,-0.4932231825826561,0.7435178211814102,19,37.82629666706598
2010-full,2010-02-11,2026-05-28,100,8,7,0.30815302652521437,-0.4932231825826564,0.8431292402214208,15,79.50465142046112
2010-full,2010-02-11,2026-05-28,100,8,8,0.2954170890921768,-0.4932231825826564,0.818439411782994,15,67.79171065885508
2010-full,2010-02-11,2026-05-28,125,0,0,0.3014708407552491,-0.5626652367002032,0.8296027495645333,145,73.14107606135578
2010-full,2010-02-11,2026-05-28,125,0,1,0.31932960738135585,-0.6068234743140417,0.8540908612394434,91,91.32316088052885
2010-full,2010-02-11,2026-05-28,125,0,2,0.33483026224303925,-0.581913310108382,0.8700905090397418,57,110.46300957951398
2010-full,2010-02-11,2026-05-28,125,0,3,0.35222566065345173,-0.5756623984528636,0.8941898895920641,43,136.40140270657537
2010-full,2010-02-11,2026-05-28,125,0,4,0.3620559872910556,-0.6049004955933708,0.9044627987403541,35,153.48444425519145
2010-full,2010-02-11,2026-05-28,125,0,5,0.34871710586631455,-0.6811119158299389,0.8784942483134611,31,130.74902822231041
2010-full,2010-02-11,2026-05-28,125,0,6,0.33425421459959326,-0.7161181358836393,0.8514195659159735,27,109.68900468562185
2010-full,2010-02-11,2026-05-28,125,0,7,0.29822605098516664,-0.747884875423365,0.785287272496687,25,70.22645709326585
2010-full,2010-02-11,2026-05-28,125,0,8,0.2601711748158295,-0.7881637611690757,0.7200260702032231,25,43.25322931869805
2010-full,2010-02-11,2026-05-28,125,1,0,0.2888163406365307,-0.5350934520713817,0.8129255042282342,103,62.37855655498792
